Sl. No.,State/UT,Number of Fast Track Court,Number of Cases pending
1,Andhra Pradesh,21,6153
2,Assam,15,8744
3,Arunachal Pradesh,0,0
4,Mizoram,2,201
5,Nagaland,1,30
6,Bihar,33,12252
7,Chhattisgarh,23,6829
8,Delhi,13,4638
9,Goa,3,1836
10,Maharashtra,114,163112
11,Gujarat,35,5682
12,Haryana,6,724
13,Punjab,7,431
14,Chandigarh,0,0
15,Himachal Pradesh,0,0
16,Jammu & Kashmir,7,2261
17,Jharkhand,41,5986
18,Karnataka,16,3346
19,Kerala,28,6477
20,Lakshadweep,0,0
21,Madhya Pradesh,0,0
22,Manipur,6,435
23,Meghalaya,0,0
24,Odisha,0,0
25,Rajasthan,0,0
26,Sikkim,2,20
27,Tamil Nadu,74,94252
28,Puducherry,0,0
29,Tripura,11,1560
30,Uttar Pradesh,372,526704
31,Uttarakhand,4,664
32,West Bengal,88,58955
33,Andaman & Nicobar Islands,NA,NA
34,Telangana,34,12200
35,Diu & Daman,0,0
36,Dadra & Nagar Haveli,0,0
37,Ladakh,NA,NA
Total,Total,956,923492
