Sl. No.,Name of High Court,Pendency
1,Allahabad High Court,1073671
2,Bombay High Court,723548
3,High Court Of Rajasthan,668985
4,Madras High Court,541267
5,High Court of Madhya Pradesh,447073
6,High Court of Punjab and Haryana,440152
7,High Court of Karnataka,288473
8,High Court of Kerala,255383
9,High Court of Andhra Pradesh,248975
10,High Court for State of Telangana,247588
11,Patna High Court,197742
12,Calcutta High Court,194951
13,High Court of Gujarat,170325
14,Orissa High Court,146023
15,High Court of Delhi,123615
16,High Court of Himachal Pradesh,100556
17,High Court Of Chhattisgarh,90723
18,High Court of Jharkhand,83612
19,Gauhati High Court,62754
20,High Court of Uttarakhand,50954
21,High Court of Jammu and Kashmir,44753
22,High Court of Manipur,4698
23,High Court of Tripura,1266
24,High Court of Meghalaya,1146
25,High Court of Sikkim,184
Total,Total,6208417
